"Prev.Length","Match.Score","Tile.Size","Prev.Type","Browse.Time"
30,60,0.2,"TT",17.9581971711236
30,70,0.2,"TT",19.0526548139351
30,75,0.2,"TT",18.8793724642192
30,80,0.2,"TT",18.4895665975919
30,85,0.2,"TT",18.5356462823833
30,90,0.2,"TT",17.7887981394371
120,75,0.2,"TT",20.5698195667238
120,80,0.2,"TT",22.1045512764792
120,85,0.2,"TT",19.6276858731244
120,90,0.2,"TT",21.0930974445049
120,95,0.2,"TT",20.8208803688915
120,100,0.2,"TT",21.1979123725496
45,60,0.2,"TT",17.9637378808385
45,70,0.2,"TT",16.1571338117852
45,75,0.2,"TT",15.6645061457367
45,80,0.2,"TT",15.5547816130464
45,85,0.2,"TT",14.8997116679388
45,90,0.2,"TT",15.6002875111141
60,75,0.2,"TT",15.3847691415915
60,80,0.2,"TT",14.7986057135295
60,85,0.2,"TT",15.7420723132405
60,90,0.2,"TT",15.5889138666605
60,95,0.2,"TT",16.0141932833671
60,100,0.2,"TT",17.2782120799566
75,60,0.2,"TT",15.3117847669468
75,70,0.2,"TT",17.5033140117956
75,75,0.2,"TT",14.4534830639352
75,80,0.2,"TT",14.5796247422138
75,85,0.2,"TT",13.1122246553729
75,90,0.2,"TT",15.169823629938
90,75,0.2,"TT",16.7486356770505
90,80,0.2,"TT",16.0793906730969
90,85,0.2,"TT",17.7868765179134
90,90,0.2,"TT",18.3731149928238
90,95,0.2,"TT",17.7210462947178
90,100,0.2,"TT",20.2336261848271
30,60,0.2,"TT",19.9138537719782
30,70,0.2,"TT",20.4197563815627
30,75,0.2,"TT",19.0804735946499
30,80,0.2,"TT",17.3827972404709
30,85,0.2,"TT",19.4857883276461
30,90,0.2,"TT",17.8555427979327
120,75,0.2,"TT",21.4622198122253
120,80,0.2,"TT",22.4033638469983
120,85,0.2,"TT",20.7808778308614
120,90,0.2,"TT",21.0524002147284
120,95,0.2,"TT",21.5178524902864
120,100,0.2,"TT",21.0360824098723
45,60,0.2,"TT",19.5385924474177
45,70,0.2,"TT",14.4692238446017
45,75,0.2,"TT",17.2871786396534
45,80,0.2,"TT",16.0746299562833
45,85,0.2,"TT",15.5584083582517
45,90,0.2,"TT",18.7619483008188
60,75,0.2,"TT",14.6743977412484
60,80,0.2,"TT",14.4703290801532
60,85,0.2,"TT",15.8167365207337
60,90,0.2,"TT",14.8904947209183
60,95,0.2,"TT",17.3568040704628
60,100,0.2,"TT",19.5448749390728
75,60,0.2,"TT",14.7309268624827
75,70,0.2,"TT",14.9250971312782
75,75,0.2,"TT",17.1698767787413
75,80,0.2,"TT",13.250498889999
75,85,0.2,"TT",14.5491896502515
75,90,0.2,"TT",16.0245935154213
90,75,0.2,"TT",17.1400919408513
90,80,0.2,"TT",16.8030674453482
90,85,0.2,"TT",18.8764348066761
90,90,0.2,"TT",18.8141747863884
90,95,0.2,"TT",16.9488354655256
90,100,0.2,"TT",20.080159983003
30,60,0.2,"TT",21.19169833141
