"Prev.Length","Match.Score","Tile.Size","Prev.Type","Browse.Time"
100,80,0.1,"TT",17.7987861379784
120,80,0.1,"TT",20.4535212942576
100,100,0.1,"TT",18.449458286189
120,100,0.1,"TT",20.5094110466718
100,80,0.3,"TT",17.5835522879683
120,80,0.3,"TT",21.2701531071617
100,100,0.3,"TT",21.4798567217797
120,100,0.3,"TT",20.9659561416984
110,90,0.3,"TT",20.3600545019899
110,90,0.3,"AC",23.5373616757832
100,80,0.1,"TT",20.1685515459649
120,80,0.1,"TT",21.7887244679521
100,100,0.1,"TT",19.3586590676097
120,100,0.1,"TT",20.744759585901
100,80,0.3,"TT",18.6787592247341
120,80,0.3,"TT",20.506246099177
100,100,0.3,"TT",19.2235000785694
120,100,0.3,"TT",21.8038676078968
110,90,0.3,"TT",18.5171317103625
110,90,0.3,"AC",24.8663681548787
100,80,0.1,"TT",18.9829057365594
120,80,0.1,"TT",22.0205045572628
100,100,0.1,"TT",19.5769524857268
120,100,0.1,"TT",20.4320747745111
100,80,0.3,"TT",17.5661983069517
120,80,0.3,"TT",20.5673482885783
100,100,0.3,"TT",20.840847630008
120,100,0.3,"TT",20.7618485113443
110,90,0.3,"TT",21.8638443360406
110,90,0.3,"AC",24.9641007870416
100,80,0.1,"TT",19.0177388331721
120,80,0.1,"TT",21.0774252038123
100,100,0.1,"TT",20.0014629528545
120,100,0.1,"TT",20.868079073035
100,80,0.3,"TT",18.1252657284838
120,80,0.3,"TT",21.3582013873837
100,100,0.3,"TT",18.2891080286941
120,100,0.3,"TT",19.1818654542877
110,90,0.3,"TT",21.3421369371107
110,90,0.3,"AC",24.477469472507
100,80,0.1,"TT",19.0396208013624
120,80,0.1,"TT",20.5988175753885
100,100,0.1,"TT",18.9249645092581
120,100,0.1,"TT",19.7712075572767
100,80,0.3,"TT",19.5159640113361
120,80,0.3,"TT",20.8279262508248
100,100,0.3,"TT",19.7840924205873
120,100,0.3,"TT",23.6968435534815
110,90,0.3,"TT",19.1582750536657
110,90,0.3,"AC",24.6355338758879
100,80,0.1,"TT",17.4714852897596
120,80,0.1,"TT",19.9792442865093
100,100,0.1,"TT",20.347121727658
120,100,0.1,"TT",21.4361785072329
100,80,0.3,"TT",19.4078866876593
120,80,0.3,"TT",21.4542388382569
100,100,0.3,"TT",17.9999803711983
120,100,0.3,"TT",20.5032516706477
110,90,0.3,"TT",20.2322056051838
110,90,0.3,"AC",26.5960741949157
100,80,0.1,"TT",16.7670269324285
120,80,0.1,"TT",18.7664473291978
100,100,0.1,"TT",18.7931786934663
120,100,0.1,"TT",23.443400456567
100,80,0.3,"TT",17.6692556797321
120,80,0.3,"TT",21.4261143048113
100,100,0.3,"TT",19.8451538640718
120,100,0.3,"TT",21.3267580202958
110,90,0.3,"TT",20.7654865999536
110,90,0.3,"AC",25.2227318051824
100,80,0.1,"TT",18.742746618668
120,80,0.1,"TT",20.4037154996716
100,100,0.1,"TT",19.6021407148236
120,100,0.1,"TT",23.2021388933821
100,80,0.3,"TT",17.3509531097816
120,80,0.3,"TT",20.3982920395075
100,100,0.3,"TT",21.1647929694564
120,100,0.3,"TT",24.9092305882668
110,90,0.3,"TT",20.0861064200826
110,90,0.3,"AC",25.2905650697172
100,80,0.1,"TT",18.5084635670077
120,80,0.1,"TT",20.4368792651897
